Name,RA,DEC,DF Source,#bib,#not,Name list,Type list,Redshift Flag,RA list,DEC list,#bib list,#not list,Redshift Flag list,Redshift list
SLACS SDSS J2347-0005 source,356.86699999999996,-0.08925,"['S', 'S']",,,"['SLACS SDSS J2347-0005 source', 'SLACS SDSS J2347-0005']","['LeG', 'gLS']",,"[356.86699999999996, 356.86700833333333]","[-0.08925, -0.08923055555555555]","[4.0, 11.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J2300+0022 source,345.22146236720994,0.37721391354,"['S', 'S']",,,"['SLACS SDSS J2300+0022 source', 'SLACS SDSS J2300+0022']","['LeG', 'gLS']",,"[345.22146236720994, 345.22146236720994]","[0.37721391354, 0.37721391354]","[14.0, 24.0]","[2.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0029-0055 source,7.282407351709999,-0.9307172122499999,"['S', 'S']",,,"['SLACS SDSS J0029-0055 source', 'SLACS SDSS J0029-0055']","['LeG', 'gLS']",,"[7.282407351709999, 7.282407351709999]","[-0.9307172122499999, -0.9307172122499999]","[5.0, 18.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0157-0056 source,29.49558333333333,-0.9405833333333333,"['S', 'S']",,,"['SLACS SDSS J0157-0056 source', 'SLACS SDSS J0157-0056']","['LeG', 'gLS']",,"[29.49558333333333, 29.49556666666666]","[-0.9405833333333333, -0.9405694444444445]","[4.0, 12.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0252+0039 source,43.18837499999999,0.6662222222222223,"['S', 'S']",,,"['SLACS SDSS J0252+0039 source', 'SLACS SDSS J0252+0039']","['LeG', 'gLS']",,"[43.18837499999999, 43.188399999999994]","[0.6662222222222223, 0.6662083333333334]","[7.0, 21.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0330-0020 source,52.55058333333333,-0.34775,"['S', 'S']",,,"['SLACS SDSS J0330-0020 source', 'SLACS SDSS J0330-0020']","['LeG', 'gLS']",,"[52.55058333333333, 52.55055833333333]","[-0.34775, -0.3477444444444444]","[6.0, 19.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J2341+0000 source,355.29820804911,0.00518326339,"['S', 'S']",,,"['SLACS SDSS J2341+0000 source', 'SLACS SDSS J2341+0000']","['LeG', 'gLS']",,"[355.29820804911, 355.29820804911]","[0.00518326339, 0.00518326339]","[5.0, 15.0]","[1.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0008-0004,2.012304166666666,-0.06894722222222222,"['S', 'S']",,,"['SLACS SDSS J0008-0004', 'SLACS SDSS J0008-0004 source']","['gLS', 'LeG']",,"[2.012304166666666, 2.0123333333333333]","[-0.06894722222222222, -0.06894444444444445]","[14.0, 4.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J0044+0113,11.012083333333331,1.2201722222222224,"['S', 'S']",,,"['SLACS SDSS J0044+0113', 'SLACS SDSS J0044+0113 source']","['gLS', 'LeG']",,"[11.012083333333331, 11.012083333333331]","[1.2201722222222224, 1.2201666666666668]","[19.0, 6.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J2111-0038,317.8011375,-0.6407027777777777,"['S', 'S']",,,"['SLACS SDSS J2111-0038', 'SLACS SDSS J2111-0038 source']","['gLS', 'LeG']",,"[317.8011375, 317.80125]","[-0.6407027777777777, -0.6408333333333333]","[2.0, 1.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
SLACS SDSS J2141-0001,325.47783748117996,-0.02009171372,"['S', 'S']",,,"['SLACS SDSS J2141-0001', 'SLACS SDSS J2141-0001 source']","['gLS', 'LeG']",,"[325.47783748117996, 325.47783748117996]","[-0.02009171372, -0.02009171372]","[9.0, 5.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
SL2S J220629+005728,331.6208333333333,0.9577777777777777,['S'],,,['SL2S J220629+005728'],['gLe'],,[331.6208333333333],[0.9577777777777777],[5.0],[0.0],[nan],[nan]
SL2S J221326-000946,333.35833333333323,-0.16277777777777777,['S'],,,['SL2S J221326-000946'],['gLe'],,[333.35833333333323],[-0.16277777777777777],[10.0],[0.0],[nan],[nan]
SLACS SDSS J2343-0030,355.9953036735399,-0.5062169771,['S'],,,['SLACS SDSS J2343-0030'],['gLS'],,[355.9953036735399],[-0.5062169771],[5.0],[0.0],[nan],[nan]
SL2S J222012+010606,335.04999999999995,1.1016666666666668,['S'],,,['SL2S J222012+010606'],['gLe'],,[335.04999999999995],[1.1016666666666668],[4.0],[0.0],[nan],[nan]
SL2S J222217+001202,335.5708333333333,0.20055555555555557,['S'],,,['SL2S J222217+001202'],['gLe'],,[335.5708333333333],[0.20055555555555557],[4.0],[0.0],[nan],[nan]
SGAS J000451.7-010321,1.2154166666666666,-1.0558333333333334,"['S', 'N', 'N', 'N', 'N', 'N', 'N']",,,"['SGAS J000451.7-010321', 'SDSS J0004-0103:[SBD2020] 1.1', 'SDSS J0004-0103:[SBD2020] 1.2', 'SDSS J0004-0103:[SBD2020] 1a.1', 'SDSS J0004-0103:[SBD2020] 1d.1', 'SDSS J0004-0103:[SBD2020] 1d.2', 'DES J0004-0103:[DBL2017] 1']","['LeG', 'G_Lens', 'G_Lens', 'G_Lens', 'G_Lens', 'G_Lens', 'G_Lens']",,"[1.2154166666666666, 1.21546, 1.21535, 1.21558, 1.21538, 1.21543, 1.21532]","[-1.0558333333333334, -1.05592, -1.05586, -1.056, -1.05587, -1.0559, -1.0558]","[7.0, 1.0, 1.0, 1.0, 1.0, 1.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[nan, 'SPEC', nan, nan, nan, nan, 'PHOT']","[nan, 1.681, nan, nan, nan, nan, 0.34]"
[MCM2012] SA122,333.27874999999995,-0.5102777777777778,"['S', 'N']",,,"['[MCM2012] SA122', 'SARCS 122']","['gLS', 'G']",,"[333.27874999999995, 333.27884]","[-0.5102777777777778, -0.51028]","[2.0, 2.0]","[0.0, 0.0]","[nan, 'SPEC']","[nan, 0.702469]"
[MCM2012] SA123,333.38291666666663,0.81,"['S', 'N']",,,"['[MCM2012] SA123', 'SARCS 123']","['gLS', 'G']",,"[333.38291666666663, 333.38269]","[0.81, 0.81002]","[4.0, 1.0]","[0.0, 0.0]","[nan, 'PHOT']","[nan, 1.0]"
[MCM2012] SA126,334.3725,-0.6436111111111111,"['S', 'N']",,,"['[MCM2012] SA126', 'SARCS 126']","['gLS', 'G']",,"[334.3725, 334.37238]","[-0.6436111111111111, -0.64351]","[1.0, 1.0]","[0.0, 0.0]","[nan, 'PHOT']","[nan, 0.78]"
[MCM2012] SA127,335.4320833333333,-0.8841666666666667,"['S', 'N']",,,"['[MCM2012] SA127', 'SARCS 127']","['gLS', 'G']",,"[335.4320833333333, 335.4322]","[-0.8841666666666667, -0.88414]","[4.0, 1.0]","[0.0, 0.0]","[nan, 'SPEC']","[nan, 0.334044]"
[MCM2012] SA125 lens,333.5784166666666,1.1760694444444446,"['S', 'N']",,,"['[MCM2012] SA125 lens', 'SARCS 125']","['gLe', 'UvS']",,"[333.5784166666666, 333.57825]","[1.1760694444444446, 1.17623]","[2.0, 2.0]","[0.0, 0.0]","[nan, 'PHOT']","[nan, 0.74]"
SDSS J015107.37+004908.9,27.780712499999996,0.8191583333333333,"['S', 'S']",,,"['SDSS J015107.37+004908.9', '[BBS2012] SDSS J0151+0049']","['gLe', 'gLS']",,"[27.780712499999996, 27.780712499999996]","[0.8191583333333333, 0.8191583333333333]","[2.0, 4.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
[BBS2012] SDSS J2303+0037,345.8965375,0.61755,['S'],,,['[BBS2012] SDSS J2303+0037'],['gLS'],,[345.8965375],[0.61755],[4.0],[0.0],[nan],[nan]
HerS J020941.1+001557,32.42195833333333,0.26622222222222225,"['S', 'S']",,,"['HerS J020941.1+001557', 'VIRTUAL PARENT SDSS J0209+0015']","['LeG', 'gLS']",,"[32.42195833333333, 32.42195833333333]","[0.26622222222222225, 0.26622222222222225]","[6.0, 0.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
[ATO2015] DES J2146-0047 A,326.69183333333325,-0.7956388888888889,"['S', 'S', 'S', 'N', 'N']",,,"['[ATO2015] DES J2146-0047 A', '[MOK2016] SDSS J2146-0047', '[MOK2016] SDSS J2146-0047 G', 'DES J2146-0047:[ATO2015] A', 'SDSS J2146-0047:[MOK2016] A']","['LeQ', 'gLS', 'gLe', 'Q_Lens', 'G_Lens']",,"[326.69183333333325, 326.69179166666663, 326.69174999999996, 326.69183, 326.69177]","[-0.7956388888888889, -0.7956388888888889, -0.7957833333333333, -0.79564, -0.79558]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]"
SL2S J221045-005918,332.6891666666666,-0.9883333333333333,['S'],,,['SL2S J221045-005918'],['gLe'],,[332.6891666666666],[-0.9883333333333333],[1.0],[0.0],[nan],[nan]
DES J0250-0008,42.534995833333326,0.13795,"['S', 'S']",,,"['DES J0250-0008', '[NBL2016] DES J0250-0008 lens']","['gLS', 'gLe']",,"[42.534995833333326, 42.534995833333326]","[0.13795, 0.13795]","[1.0, 1.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
[ACS2016] HELMS RED 3,9.873333333333333,0.40722222222222226,['S'],,,['[ACS2016] HELMS RED 3'],['LeG'],,[9.873333333333333],[0.40722222222222226],[3.0],[0.0],[nan],[nan]
[NKC2016] HELMS14,9.082499999999998,0.40555555555555556,['S'],,,['[NKC2016] HELMS14'],['LeG'],,[9.082499999999998],[0.40555555555555556],[1.0],[0.0],[nan],[nan]
[NKC2016] HELMS23,14.671666666666665,-1.1969444444444444,['S'],,,['[NKC2016] HELMS23'],['LeG'],,[14.671666666666665],[-1.1969444444444444],[1.0],[0.0],[nan],[nan]
[ACS2016] HELMS RED 7,9.558749999999998,-0.38111111111111107,['S'],,,['[ACS2016] HELMS RED 7'],['LeG'],,[9.558749999999998],[-0.38111111111111107],[3.0],[0.0],[nan],[nan]
[NKC2016] HELMS25,10.35,-1.0519444444444446,['S'],,,['[NKC2016] HELMS25'],['LeG'],,[10.35],[-1.0519444444444446],[1.0],[0.0],[nan],[nan]
[NKC2016] HELMS27,9.491666666666665,-1.1061111111111113,['S'],,,['[NKC2016] HELMS27'],['LeG'],,[9.491666666666665],[-1.1061111111111113],[1.0],[0.0],[nan],[nan]
[NKC2016] HELMS34,6.83125,0.20111111111111113,['S'],,,['[NKC2016] HELMS34'],['LeG'],,[6.83125],[0.20111111111111113],[1.0],[0.0],[nan],[nan]
