Name_ned,RA_ned,DEC_ned,Type_ned,Redshift,Redshift Flag
SDSS J0004-0103:[SBD2020] 1.3 ,1.21476,-1.05537,G_Lens,,
DES J0004-0103:[DBL2017] 2,1.21478,-1.05536,G_Lens,0.45,PHOT
SDSS J0004-0103:[SBD2020] 1c.1,1.2148,-1.05531,G_Lens,,
SDSS J0004-0103:[SBD2020] 1b.3,1.2148,-1.05519,G_Lens,,
SDSS J0004-0103:[SBD2020] 1a.3,1.21487,-1.05552,G_Lens,,
SDSS J0004-0103:[SBD2020] 1a.2,1.21514,-1.05576,G_Lens,,
SDSS J0004-0103:[SBD2020] 1c.2,1.21522,-1.05572,G_Lens,,
SDSS J0004-0103:[SBD2020] 1b.2,1.21528,-1.05567,G_Lens,,
DES J0004-0103:[DBL2017] 1,1.21532,-1.0558,G_Lens,0.34,PHOT
SDSS J0004-0103:[SBD2020] 1.2 ,1.21535,-1.05586,G_Lens,,
SDSS J0004-0103:[SBD2020] 1d.1,1.21538,-1.05587,G_Lens,,
SDSS J0004-0103:[SBD2020] 1d.2,1.21543,-1.0559,G_Lens,,
SDSS J0004-0103:[SBD2020] 1.1 ,1.21546,-1.05592,G_Lens,1.681,SPEC
SDSS J0004-0103:[SBD2020] 1a.1,1.21558,-1.056,G_Lens,,
SDSS J0004-0103:[SBD2020] 1c.3,1.21569,-1.05594,G_Lens,,
SDSS J0004-0103:[SBD2020] 1b.1,1.21582,-1.05591,G_Lens,,
DES J0014-0057:[OWD2022] 1,3.72879,-0.95102,G_Lens,0.54,PLE 
DES J0032+0100:[OWD2022] 2,8.07151,1.01157,G_Lens,,
DES J0032+0100:[OWD2022] 1,8.07204,1.00909,G_Lens,0.23,PLE 
DES J0044-0055:[OWD2022] 2,11.15391,-0.92368,G_Lens,0.53,PLE 
DES J0044-0055:[OWD2022] 1,11.15549,-0.91989,G_Lens,0.07,PLE 
SDSS J015241.01+010020.6,28.17091,1.00572,G_Lens,0.2249,SLS 
ABELL 0267:[SKS2005] E02a,28.17249,1.00456,G_Lens,,
HeCS J015241.47+010043.0,28.17254,1.01171,G,0.224828,SLS 
